profile,source_file,options,threads,workers,threads_per_worker,model_load_ms,case,questions,request_sha256,input_tokens,p50_ms,p95_ms,mean_ms,decisions_per_second,first_call_ms,max_rounded_probability_error,max_other_numeric_error,categorical_mismatch_count,matching_top_options,decisions,top_option_agreement
gpu,gpu.json,"{""capture_warmups"": 1, ""dtype"": ""fp16"", ""graphs"": true}",4,1,,2211.2163591664284,16-short,16,60b67ccbbe143c6ced6d1e8f2020f25a8e4fb6b671950e352f7557bd8247b18a,993,17.446741578169167,17.72206221939996,17.50680737895891,913.9302017585507,52.967278053984046,0.00010000000000001674,9.999999999998899e-05,0,16,16,1.0
gpu,gpu.json,"{""capture_warmups"": 1, ""dtype"": ""fp16"", ""graphs"": true}",4,1,,2211.2163591664284,1-long,1,6c8d2da685689c3c33a26855bddf64ac54d97c6e5a5147feab971b3ec6e3920a,512,10.749685461632907,10.788003355264664,10.75233209412545,93.00307981989798,39.210641058161855,0.0006000000000000449,0.0009000000000000119,0,1,1,1.0
gpu,gpu.json,"{""capture_warmups"": 1, ""dtype"": ""fp16"", ""graphs"": true}",4,1,,2211.2163591664284,16-long,16,c78ea353c2e5e6c0579bcfa38baf6cfaa3e678c7db11394d22468411dc20dfc6,8192,145.96768165938556,146.19201702298597,145.956466300413,109.62172766685244,316.99670501984656,0.0008000000000000229,0.0013000000000000234,0,16,16,1.0
hybrid-compiled,hybrid-compiled.json,"{""compile_model"": true, ""cpu_dtype"": ""fp32"", ""cpu_threads"": 1, ""gpu_dtype"": ""fp16"", ""graphs"": true, ""split"": ""scorer""}",1,1,,3208.4035389125347,1-short,1,da98b5ec5dff8bff4a9ba124c84677565b54cf546d23634345bb47f56ce7d6c7,63,2.7833605417981744,2.7914022211916745,2.782530093099922,359.38515183709444,28919.93968002498,0.0,0.0,0,1,1,1.0
hybrid-compiled,hybrid-compiled.json,"{""compile_model"": true, ""cpu_dtype"": ""fp32"", ""cpu_threads"": 1, ""gpu_dtype"": ""fp16"", ""graphs"": true, ""split"": ""scorer""}",1,1,,3208.4035389125347,16-short,16,60b67ccbbe143c6ced6d1e8f2020f25a8e4fb6b671950e352f7557bd8247b18a,993,12.16537447180599,12.311993620824069,12.17269862536341,1314.4168349540757,31740.166656905785,0.00010000000000001674,0.00019999999999997797,0,16,16,1.0
hybrid-compiled,hybrid-compiled.json,"{""compile_model"": true, ""cpu_dtype"": ""fp32"", ""cpu_threads"": 1, ""gpu_dtype"": ""fp16"", ""graphs"": true, ""split"": ""scorer""}",1,1,,3208.4035389125347,1-long,1,6c8d2da685689c3c33a26855bddf64ac54d97c6e5a5147feab971b3ec6e3920a,512,8.269229554571211,8.43194352928549,8.303251897450536,120.43474199633086,32452.10952893831,0.000200000000000089,0.00019999999999997797,0,1,1,1.0
hybrid-compiled,hybrid-compiled.json,"{""compile_model"": true, ""cpu_dtype"": ""fp32"", ""cpu_threads"": 1, ""gpu_dtype"": ""fp16"", ""graphs"": true, ""split"": ""scorer""}",1,1,,3208.4035389125347,16-long,16,c78ea353c2e5e6c0579bcfa38baf6cfaa3e678c7db11394d22468411dc20dfc6,8192,90.17464751377702,90.81751408521086,90.20561655052006,177.37254742934024,33845.49251804128,0.0009000000000000119,0.0013000000000000234,0,16,16,1.0
hybrid,hybrid.json,"{""cpu_dtype"": ""fp32"", ""cpu_threads"": 4, ""gpu_dtype"": ""fp16"", ""graphs"": true, ""split"": ""scorer""}",4,1,,2190.956746926531,1-short,1,da98b5ec5dff8bff4a9ba124c84677565b54cf546d23634345bb47f56ce7d6c7,63,4.6025225892663,4.631179058924317,4.607910686172545,217.01809520761935,564.309055916965,0.00010000000000000286,0.00010000000000010001,0,1,1,1.0
hybrid,hybrid.json,"{""cpu_dtype"": ""fp32"", ""cpu_threads"": 4, ""gpu_dtype"": ""fp16"", ""graphs"": true, ""split"": ""scorer""}",4,1,,2190.956746926531,16-short,16,60b67ccbbe143c6ced6d1e8f2020f25a8e4fb6b671950e352f7557bd8247b18a,993,18.325419048778713,18.46111916238442,18.315826437901706,873.5614554028821,53.21656400337815,0.00019999999999997797,0.00020000000000000573,0,16,16,1.0
hybrid,hybrid.json,"{""cpu_dtype"": ""fp32"", ""cpu_threads"": 4, ""gpu_dtype"": ""fp16"", ""graphs"": true, ""split"": ""scorer""}",4,1,,2190.956746926531,1-long,1,6c8d2da685689c3c33a26855bddf64ac54d97c6e5a5147feab971b3ec6e3920a,512,11.009827954694629,11.125141044612974,11.020116799045354,90.74313986278509,37.92566782794893,0.0006000000000000449,0.0009000000000000119,0,1,1,1.0
hybrid,hybrid.json,"{""cpu_dtype"": ""fp32"", ""cpu_threads"": 4, ""gpu_dtype"": ""fp16"", ""graphs"": true, ""split"": ""scorer""}",4,1,,2190.956746926531,16-long,16,c78ea353c2e5e6c0579bcfa38baf6cfaa3e678c7db11394d22468411dc20dfc6,8192,147.35044992994517,147.86545590031892,147.3754543112591,108.56624717307245,317.62653798796237,0.0009000000000000119,0.0014000000000000123,0,16,16,1.0
