Workload,Callers,Policy,Requests/s,"p50, ms","p95, ms",Requests,Source
16-short,2,serial-fifo,90.03,22.178,22.576,48,latency-optimizations/serving/screen-summary.json
16-short,4,serial-fifo,88.83,45.055,46.050,48,latency-optimizations/serving/screen-summary.json
16-short,8,serial-fifo,89.74,89.107,90.424,48,latency-optimizations/serving/screen-summary.json
mixed,1,serial-fifo,36.25,9.617,89.043,48,latency-optimizations/serving/screen-summary.json
mixed,2,serial-fifo,36.18,21.536,95.418,48,latency-optimizations/serving/screen-summary.json
mixed,4,serial-fifo,36.10,110.781,112.241,48,latency-optimizations/serving/screen-summary.json
mixed,8,serial-fifo,36.05,222.047,223.585,48,latency-optimizations/serving/screen-summary.json
1-long,1,streams-2,132.64,7.421,8.097,48,latency-optimizations/serving/screen-summary.json
1-long,2,streams-2,192.70,10.317,10.485,48,latency-optimizations/serving/screen-summary.json
1-long,4,streams-2,189.03,20.779,22.074,48,latency-optimizations/serving/screen-summary.json
1-long,8,streams-2,187.71,41.558,43.426,48,latency-optimizations/serving/screen-summary.json
1-short,1,streams-2,431.04,2.299,2.416,48,latency-optimizations/serving/screen-summary.json
1-short,2,streams-2,645.10,3.075,3.184,48,latency-optimizations/serving/screen-summary.json
1-short,4,streams-2,630.39,6.212,6.909,48,latency-optimizations/serving/screen-summary.json
1-short,8,streams-2,639.65,12.439,12.575,48,latency-optimizations/serving/screen-summary.json
16-long,1,streams-2,11.38,87.860,88.095,48,latency-optimizations/serving/screen-summary.json
16-long,2,streams-2,11.65,171.823,172.314,48,latency-optimizations/serving/screen-summary.json
16-long,4,streams-2,11.66,342.773,344.514,48,latency-optimizations/serving/screen-summary.json
16-long,8,streams-2,11.64,687.130,689.331,48,latency-optimizations/serving/screen-summary.json
16-short,1,streams-2,89.78,11.136,11.398,48,latency-optimizations/serving/screen-summary.json
16-short,2,streams-2,107.67,18.477,19.022,48,latency-optimizations/serving/screen-summary.json
16-short,4,streams-2,108.84,36.596,37.673,48,latency-optimizations/serving/screen-summary.json
16-short,8,streams-2,106.57,74.271,78.301,48,latency-optimizations/serving/screen-summary.json
mixed,1,streams-2,36.77,9.308,87.724,48,latency-optimizations/serving/screen-summary.json
mixed,2,streams-2,40.01,42.970,92.210,48,latency-optimizations/serving/screen-summary.json
mixed,4,streams-2,40.13,99.355,126.814,48,latency-optimizations/serving/screen-summary.json
mixed,8,streams-2,39.67,200.473,228.025,48,latency-optimizations/serving/screen-summary.json
1-long,1,streams-4,132.95,7.482,7.723,48,latency-optimizations/serving/screen-summary.json
1-long,2,streams-4,191.02,10.362,10.522,48,latency-optimizations/serving/screen-summary.json
1-long,4,streams-4,201.87,19.433,20.479,48,latency-optimizations/serving/screen-summary.json
1-long,8,streams-4,201.67,39.003,42.307,48,latency-optimizations/serving/screen-summary.json
1-short,1,streams-4,408.73,2.407,2.715,48,latency-optimizations/serving/screen-summary.json
1-short,2,streams-4,646.48,3.078,3.161,48,latency-optimizations/serving/screen-summary.json
1-short,4,streams-4,814.56,4.834,4.986,48,latency-optimizations/serving/screen-summary.json
1-short,8,streams-4,811.79,9.633,9.882,48,latency-optimizations/serving/screen-summary.json
16-long,1,streams-4,11.23,89.025,89.370,48,latency-optimizations/serving/screen-summary.json
16-long,2,streams-4,11.58,172.681,174.538,48,latency-optimizations/serving/screen-summary.json
16-long,4,streams-4,11.66,343.245,348.382,48,latency-optimizations/serving/screen-summary.json
16-long,8,streams-4,11.58,689.920,700.441,48,latency-optimizations/serving/screen-summary.json
16-short,1,streams-4,90.68,10.997,11.170,48,latency-optimizations/serving/screen-summary.json
16-short,2,streams-4,105.35,19.019,19.555,48,latency-optimizations/serving/screen-summary.json
16-short,4,streams-4,106.64,37.381,38.405,48,latency-optimizations/serving/screen-summary.json
16-short,8,streams-4,106.59,74.277,76.735,48,latency-optimizations/serving/screen-summary.json
mixed,1,streams-4,36.21,10.022,89.110,48,latency-optimizations/serving/screen-summary.json
mixed,2,streams-4,39.43,44.948,94.023,48,latency-optimizations/serving/screen-summary.json
mixed,4,streams-4,38.94,103.149,106.925,48,latency-optimizations/serving/screen-summary.json
mixed,8,streams-4,38.78,205.488,212.713,48,latency-optimizations/serving/screen-summary.json
